left_path,right_path,depth,head_sizes_left,head_sizes_right,real_head_size_cm
calibration7/cam1/frame_70.jpg,calibration7/cam2/frame_70.jpg,302.11,122.5580451965332,127.78270454406739,22
calibration7/cam1/frame_71.jpg,calibration7/cam2/frame_71.jpg,302.27,127.03308792114258,122.85788097381592,22
calibration7/cam1/frame_72.jpg,calibration7/cam2/frame_72.jpg,319.88,124.30060214996338,124.86849517822266,22
calibration7/cam1/frame_73.jpg,calibration7/cam2/frame_73.jpg,332.42,122.9739709854126,121.9120376586914,22
calibration7/cam1/frame_74.jpg,calibration7/cam2/frame_74.jpg,305.30,124.86084136962891,121.73806571960449,22
calibration7/cam1/frame_75.jpg,calibration7/cam2/frame_75.jpg,305.60,124.54429550170899,120.18415775299073,22
calibration7/cam1/frame_76.jpg,calibration7/cam2/frame_76.jpg,325.63,128.67217712402345,122.54932594299316,22
calibration7/cam1/frame_77.jpg,calibration7/cam2/frame_77.jpg,323.65,123.57939376831055,123.8483642578125,22
calibration7/cam1/frame_78.jpg,calibration7/cam2/frame_78.jpg,304.15,126.44537544250488,122.43475799560547,22
calibration7/cam1/frame_79.jpg,calibration7/cam2/frame_79.jpg,303.71,124.60681972503663,124.81173305511474,22
calibration7/cam1/frame_80.jpg,calibration7/cam2/frame_80.jpg,293.27,125.70657634735107,127.75884075164795,22
calibration7/cam1/frame_81.jpg,calibration7/cam2/frame_81.jpg,286.68,126.1602710723877,128.20502300262453,22
calibration7/cam1/frame_82.jpg,calibration7/cam2/frame_82.jpg,288.88,133.2018075942993,129.822194480896,22
calibration7/cam1/frame_83.jpg,calibration7/cam2/frame_83.jpg,287.46,126.73304557800293,127.52968311309814,22
calibration7/cam1/frame_84.jpg,calibration7/cam2/frame_84.jpg,262.31,128.15484924316408,127.81448307037354,22
calibration7/cam1/frame_85.jpg,calibration7/cam2/frame_85.jpg,262.24,129.33665599823,128.52113399505615,22
calibration7/cam1/frame_86.jpg,calibration7/cam2/frame_86.jpg,252.65,127.81584205627442,128.15196819305422,22
calibration7/cam1/frame_87.jpg,calibration7/cam2/frame_87.jpg,247.26,127.6801935195923,128.3350399017334,22
calibration7/cam1/frame_88.jpg,calibration7/cam2/frame_88.jpg,249.42,127.12660789489746,127.89778347015381,22
calibration7/cam1/frame_89.jpg,calibration7/cam2/frame_89.jpg,244.30,126.27213191986084,128.11679763793947,22
calibration7/cam1/frame_90.jpg,calibration7/cam2/frame_90.jpg,241.89,128.53418025970458,130.14694862365724,22
calibration7/cam1/frame_91.jpg,calibration7/cam2/frame_91.jpg,248.66,128.09247722625733,129.08651561737062,22
calibration7/cam1/frame_92.jpg,calibration7/cam2/frame_92.jpg,252.43,128.89963874816894,129.515150642395,22
calibration7/cam1/frame_93.jpg,calibration7/cam2/frame_93.jpg,256.49,130.38162918090822,128.04504318237306,22
calibration7/cam1/frame_94.jpg,calibration7/cam2/frame_94.jpg,258.60,129.88282699584963,128.22064590454102,22
calibration7/cam1/frame_95.jpg,calibration7/cam2/frame_95.jpg,271.83,127.66052627563477,127.2939588546753,22
calibration7/cam1/frame_96.jpg,calibration7/cam2/frame_96.jpg,276.80,125.9787540435791,126.96729125976563,22
calibration7/cam1/frame_97.jpg,calibration7/cam2/frame_97.jpg,284.37,122.54223747253418,126.51386833190918,22
calibration7/cam1/frame_98.jpg,calibration7/cam2/frame_98.jpg,277.88,124.01532382965088,127.08495769500733,22
calibration7/cam1/frame_99.jpg,calibration7/cam2/frame_99.jpg,276.18,123.87252159118653,123.19693164825439,22
calibration7/cam1/frame_100.jpg,calibration7/cam2/frame_100.jpg,299.98,124.53982715606689,120.43782062530518,22
calibration7/cam1/frame_101.jpg,calibration7/cam2/frame_101.jpg,301.39,124.71533203125,122.4043384552002,22
calibration7/cam1/frame_102.jpg,calibration7/cam2/frame_102.jpg,285.77,127.83903179168702,121.35230941772461,22
calibration7/cam1/frame_103.jpg,calibration7/cam2/frame_103.jpg,294.75,131.7342332839966,126.80705051422119,22
calibration7/cam1/frame_104.jpg,calibration7/cam2/frame_104.jpg,287.35,130.034033203125,124.9670488357544,22
calibration7/cam1/frame_105.jpg,calibration7/cam2/frame_105.jpg,292.83,130.81431941986085,126.23321056365967,22
calibration7/cam1/frame_106.jpg,calibration7/cam2/frame_106.jpg,278.18,130.28073806762697,125.91788234710694,22
calibration7/cam1/frame_107.jpg,calibration7/cam2/frame_107.jpg,253.19,129.08377590179444,125.62129726409913,22
calibration7/cam1/frame_108.jpg,calibration7/cam2/frame_108.jpg,262.43,127.11096324920655,127.28554401397706,22
calibration7/cam1/frame_109.jpg,calibration7/cam2/frame_109.jpg,271.20,132.13110065460205,125.92048072814941,22
calibration7/cam1/frame_110.jpg,calibration7/cam2/frame_110.jpg,274.25,131.0627202987671,125.07923583984375,22
